F,,,,,DENIED,,,,Aprobación Final / Final approval,
,,,,,SUSPENDED,,,       ANTI-CHEAT,,
,,,,,OBSERVATION,,, DESKTOP RECORD,,
,,,,,OK,,, WEBCAM RECORD,,
,,,,,,,,,,
,Team name,Nickname/pf steam,Steam64 ID/ ban list,l4d2center linkview,Status,VIO,Region,Anticheat/Record,Pepinis,MK
,,Zki ,76561198968483197,X,OK,,,       ANTI-CHEAT,,
,,Mk,76561199439175027,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Valkyrie Requiem,supra,76561199560096397,X,OK,,SA,       ANTI-CHEAT,,
,,shin,76561199156953066,X,OK,,,       ANTI-CHEAT,,
,,crona,76561199526094970,X,OK,,,       ANTI-CHEAT,,
,,wwwwww,76561199858639386,X,OK,,,       ANTI-CHEAT,,
,,skry,76561199567506085,X,OK,,,       ANTI-CHEAT,,
,,Fact,76561198450159940,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,NeverLose,Fannyng ,76561199072990713,X,OK,,SA,       ANTI-CHEAT,,
,,P4ws ,76561198292825669,X,OK,,,       ANTI-CHEAT,,
,,Socherx ,76561198850392695,X,OK,,,       ANTI-CHEAT,,
,,Aldo ,76561198417338431,X,OK,,,       ANTI-CHEAT,,
,,Veydriss ,76561199822350172,X,OK,,,       ANTI-CHEAT,,
,,Jen ,76561198288539934,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,HOKORI ,Shockwave,76561198139957525,X,OK,,SA,       ANTI-CHEAT,,
,,Zaiko,76561198802733634,X,OK,,,       ANTI-CHEAT,,
,,Grizz,76561198084333314,X,OK,,,       ANTI-CHEAT,,
,,Y4fed,76561198819418020,X,OK,,,       ANTI-CHEAT,,
,,33,76561198368050608,X,OK,,,       ANTI-CHEAT,,
,,Leank,76561198987228565,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Devour,鹞子,76561199073785269,Not found,OK,,CN,       ANTI-CHEAT,,
,,run ,76561199073446491,Not found,OK,,,       ANTI-CHEAT,,
,,wei,76561198854342271,X,OK,,,       ANTI-CHEAT,,
,,LUDE ,76561198821613482,X,OK,,,       ANTI-CHEAT,,
,,瓜,76561198845839317,X,OK,,,       ANTI-CHEAT,,
,,AWD ,76561199039409864,Not found,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Streamers Family,LordP ,76561198402210089,X,OK,,SA,       ANTI-CHEAT,,
,,Portilla,76561199162189399,X,OK,,,       ANTI-CHEAT,,
,,Ultra ,76561198781001165,X,OK,,,       ANTI-CHEAT,,
,,Z0N3X ,76561199235498188,X,OK,,,       ANTI-CHEAT,,
,,赤 / AL$,76561199804403685,X,OK,,,       ANTI-CHEAT,,
,,titanium,76561199072454760,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Loopy Family,YuenYuen ,76561198373376252,X,OK,,CN,       ANTI-CHEAT,,
,,tysheep ,76561199134618763,Not found,OK,,,       ANTI-CHEAT,,
,,luckynoob ,76561199139993398,X,OK,,, DESKTOP RECORD,,
,,Jougasaki Noa,76561199063585864,X,OK,,,       ANTI-CHEAT,,
,,rifle ,76561199789844457,X,OK,,,       ANTI-CHEAT,,
,,Cinnamoroll ξ( ✿＞◡*),76561199656386401,Not found,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Getting Good,Masquerade ,76561199073977953,X,OK,,AS/NA/SA,       ANTI-CHEAT,,
,,Kreia ,76561198011536632,X,OK,,,       ANTI-CHEAT,,
,,Xpusty ,76561199487359202,X,OK,,,       ANTI-CHEAT,,
,,$wrl,76561198078294508,X,OK,,, DESKTOP RECORD,,
,,dreem ,76561198371175640,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,,,,,,,,,,
,Puppets,gpy,76561198353633674,X,OK,,SA,       ANTI-CHEAT,,
,,Unlucky,76561199597275228,X,OK,,,       ANTI-CHEAT,,
,,exultanvist,76561199161197625,X,OK,,,       ANTI-CHEAT,,
,,beck,76561199386999671,X,OK,,,       ANTI-CHEAT,,
,,JITANO,76561198815252465,X,OK,,,       ANTI-CHEAT,,
,,Willy,76561198845083237,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Agartha,Snak3,76561198427463903,X,OK,,NA/SA,       ANTI-CHEAT,,
,,Novux ,76561198265226982,X,OK,,,       ANTI-CHEAT,,
,,Hirose ,76561198075470265,X,OK,,,       ANTI-CHEAT,,
,,Hajime,76561198256703960,X,OK,,,       ANTI-CHEAT,,
,,Sarvente ,76561198380131583,x,OK,,,       ANTI-CHEAT,,
,,lieb  ,76561198868358230,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Solar System,yTmoOn,76561198054284915,X,OK,,CN,       ANTI-CHEAT,,
,,猪咪,76561198984409734,Not found,OK,,,       ANTI-CHEAT,,
,,电光火石,76561198119828881,X,OK,,,       ANTI-CHEAT,,
,,zxc,76561198352495377,X,OK,,,       ANTI-CHEAT,,
,,酸甜苦辣,76561198721303946,Not found,OK,,,       ANTI-CHEAT,,
,,雫雫,76561198314786262,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,ZetaKa,unravel,76561199047390036,X,OK,,SA,       ANTI-CHEAT,,
,,YN 'z,76561199246542530,X,OK,,,       ANTI-CHEAT,,
,,Z.,76561199826486121,Not found,OK,,, DESKTOP RECORD,,
,,Sky,76561199388865573,X,OK,,,       ANTI-CHEAT,,
,,Yala,76561199841865505,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Sigma Males,Mik,76561199072589758,X,OK,,SA,       ANTI-CHEAT,,
,,Mind,76561199067063382,X,OK,,,       ANTI-CHEAT,,
